ticket_id,match_id,stadium_id,fan_id,ticket_category,ticket_price_mad,purchase_channel,purchase_date,entry_time,entry_gate,scan_status,scan_timestamp
TICKET_6928b79fbe,AFCON2025_M19_C_02,STAD_RAB_02,FAN_06905096,CATEGORY_3,100,WEBSITE,2025-11-27,18:05,GATE_04,SCANNED,2025-12-27 18:05:16
TICKET_201b980862,AFCON2025_M19_C_02,STAD_RAB_02,FAN_A672308B,CATEGORY_1,300,MOBILE_APP,2025-11-14,18:04,GATE_03,SCANNED,2025-12-27 18:04:17
TICKET_9d992dbeac,AFCON2025_M19_C_02,STAD_RAB_02,FAN_E9513475,CATEGORY_1,300,WEBSITE,2025-12-06,18:04,GATE_02,SCANNED,2025-12-27 18:04:25
TICKET_ae5bc98fb4,AFCON2025_M19_C_02,STAD_RAB_02,FAN_60F352A3,CATEGORY_3,100,WEBSITE,2025-11-30,16:59,GATE_04,SCANNED,2025-12-27 16:59:04
TICKET_c9b46c572a,AFCON2025_M19_C_02,STAD_RAB_02,FAN_BADBEF76,CATEGORY_2,200,WEBSITE,2025-12-13,18:16,GATE_04,SCANNED,2025-12-27 18:16:03
TICKET_9f33539300,AFCON2025_M19_C_02,STAD_RAB_02,FAN_6E0ABE48,CATEGORY_3,100,WEBSITE,2025-12-23,17:21,GATE_03,SCANNED,2025-12-27 17:21:11
TICKET_9f33539300,AFCON2025_M19_C_02,STAD_RAB_02,FAN_44A8552D,CATEGORY_1,300,WEBSITE,2025-11-26,18:05,GATE_01,SCANNED,2025-12-27 18:05:11
TICKET_a55e984115,AFCON2025_M19_C_02,STAD_RAB_02,FAN_0C590F14,CATEGORY_3,100,WEBSITE,2025-12-03,18:03,GATE_04,SCANNED,2025-12-27 18:03:53
TICKET_135737c504,AFCON2025_M19_C_02,STAD_RAB_02,FAN_869B9863,CATEGORY_3,100,WEBSITE,2025-10-31,18:18,GATE_03,SCANNED,2025-12-27 18:18:04
TICKET_b05cda0d0b,AFCON2025_M19_C_02,STAD_RAB_02,FAN_EE8A23ED,CATEGORY_1,300,WEBSITE,2025-12-16,17:07,GATE_02,SCANNED,2025-12-27 17:07:50
TICKET_8548d42701,AFCON2025_M19_C_02,STAD_RAB_02,FAN_CDFFBDA6,CATEGORY_3,100,WEBSITE,2025-11-18,17:46,GATE_01,SCANNED,2025-12-27 17:46:11
TICKET_e7858f9fa0,AFCON2025_M19_C_02,STAD_RAB_02,FAN_874A189B,CATEGORY_3,100,WEBSITE,2025-12-07,19:03,GATE_02,SCANNED,2025-12-27 19:03:22
TICKET_95c19093cf,AFCON2025_M19_C_02,STAD_RAB_02,FAN_5301374C,CATEGORY_3,100,WEBSITE,2025-11-10,17:37,GATE_04,SCANNED,2025-12-27 17:37:38
TICKET_f164e5fab2,AFCON2025_M19_C_02,STAD_RAB_02,FAN_44AE5F47,CATEGORY_2,200,MOBILE_APP,2025-12-13,17:35,GATE_04,SCANNED,2025-12-27 17:35:52
