ticket_id,match_id,stadium_id,fan_id,ticket_category,ticket_price_mad,purchase_channel,purchase_date,entry_time,entry_gate,scan_status,scan_timestamp
TICKET_a5ba5a508f,AFCON2025_M33_E_03,STAD_RAB_03,FAN_43877AF1,CATEGORY_1,300,MOBILE_APP,2025-11-28,16:36,GATE_03,SCANNED,2025-12-31 16:36:35
TICKET_17aa7e7326,AFCON2025_M33_E_03,STAD_RAB_03,FAN_81276610,CATEGORY_2,200,WEBSITE,2025-12-27,16:19,GATE_05,SCANNED,2025-12-31 16:19:44
TICKET_92c4e13e29,AFCON2025_M33_E_03,STAD_RAB_03,FAN_5F5CCB1E,CATEGORY_3,100,MOBILE_APP,2025-11-14,16:20,GATE_07,SCANNED,2025-12-31 16:20:56
TICKET_a190b7c2f2,AFCON2025_M33_E_03,STAD_RAB_03,FAN_7E0F0CED,CATEGORY_1,300,WEBSITE,2025-12-12,16:26,GATE_03,SCANNED,2025-12-31 16:26:24
TICKET_55d76fcb0d,AFCON2025_M33_E_03,STAD_RAB_03,FAN_B6227813,CATEGORY_1,300,WEBSITE,2025-11-21,16:44,GATE_01,SCANNED,2025-12-31 16:44:56
TICKET_70b49e1a35,AFCON2025_M33_E_03,STAD_RAB_03,FAN_972BAB7F,CATEGORY_1,300,WEBSITE,2025-11-19,16:23,GATE_01,SCANNED,2025-12-31 16:23:45
TICKET_f06faac980,AFCON2025_M33_E_03,STAD_RAB_03,FAN_82A15506,CATEGORY_1,300,WEBSITE,2025-11-27,16:58,GATE_01,SCANNED,2025-12-31 16:58:27
TICKET_8ff6e01300,AFCON2025_M33_E_03,STAD_RAB_03,FAN_665DC9DF,CATEGORY_2,200,WEBSITE,2025-12-23,16:44,GATE_04,SCANNED,2025-12-31 16:44:41
TICKET_ffb5c9de8a,AFCON2025_M33_E_03,STAD_RAB_03,FAN_136BA01F,CATEGORY_3,100,WEBSITE,2025-11-11,16:23,GATE_07,SCANNED,2025-12-31 16:23:32
TICKET_ab50618287,AFCON2025_M33_E_03,STAD_RAB_03,FAN_7B9EA8B9,CATEGORY_2,200,WEBSITE,2025-11-20,16:36,GATE_05,SCANNED,2025-12-31 16:36:18
TICKET_b0465b617f,AFCON2025_M33_E_03,STAD_RAB_03,FAN_7018CA6A,CATEGORY_1,300,WEBSITE,2025-12-20,16:37,GATE_01,SCANNED,2025-12-31 16:37:07
TICKET_587246ad1e,AFCON2025_M33_E_03,STAD_RAB_03,FAN_A3D4C81D,CATEGORY_3,100,WEBSITE,2025-12-20,16:30,GATE_07,SCANNED,2025-12-31 16:30:36
TICKET_67175e5b32,AFCON2025_M33_E_03,STAD_RAB_03,FAN_939716CF,CATEGORY_2,200,WEBSITE,2025-12-27,16:09,GATE_05,SCANNED,2025-12-31 16:09:46
TICKET_781e954b7b,AFCON2025_M33_E_03,STAD_RAB_03,FAN_F0244E4F,CATEGORY_1,300,WEBSITE,2025-11-13,16:30,GATE_01,SCANNED,2025-12-31 16:30:47
TICKET_f3be3a396e,AFCON2025_M33_E_03,STAD_RAB_03,FAN_07906632,CATEGORY_2,200,WEBSITE,2025-12-28,16:22,GATE_04,SCANNED,2025-12-31 16:22:05
TICKET_b106c53a0c,AFCON2025_M33_E_03,STAD_RAB_03,FAN_40282662,CATEGORY_3,100,WEBSITE,2025-11-28,16:40,GATE_08,SCANNED,2025-12-31 16:40:52
