ticket_id,match_id,stadium_id,fan_id,ticket_category,ticket_price_mad,purchase_channel,purchase_date,entry_time,entry_gate,scan_status,scan_timestamp
TICKET_e7ff38cab4,AFCON2025_M8_C_01,STAD_RAB_04,FAN_1D081322,CATEGORY_1,300,WEBSITE,2025-11-22,19:42,GATE_01,SCANNED,2025-12-23 19:42:05
TICKET_91537936cd,AFCON2025_M8_C_01,STAD_RAB_04,FAN_99BC6506,CATEGORY_3,100,MOBILE_APP,2025-11-10,20:14,GATE_01,SCANNED,2025-12-23 20:14:02
TICKET_63ced249d3,AFCON2025_M8_C_01,STAD_RAB_04,FAN_EE565B4D,CATEGORY_2,200,WEBSITE,2025-10-24,20:52,GATE_04,SCANNED,2025-12-23 20:52:45
TICKET_a2060383cc,AFCON2025_M8_C_01,STAD_RAB_04,FAN_7D7F624B,CATEGORY_3,100,WEBSITE,2025-11-03,20:44,GATE_01,SCANNED,2025-12-23 20:44:30
TICKET_22e358fb99,AFCON2025_M8_C_01,STAD_RAB_04,FAN_A025F2ED,CATEGORY_3,100,MOBILE_APP,2025-11-25,20:59,GATE_02,SCANNED,2025-12-23 20:59:17
TICKET_a9ee4dc7f9,AFCON2025_M8_C_01,STAD_RAB_04,FAN_D061E6F8,CATEGORY_3,100,WEBSITE,2025-12-02,20:33,GATE_01,SCANNED,2025-12-23 20:33:30
TICKET_3b1a413512,AFCON2025_M8_C_01,STAD_RAB_04,FAN_91ABB74D,CATEGORY_3,100,WEBSITE,2025-12-24,19:40,GATE_01,SCANNED,2025-12-23 19:40:01
TICKET_c29822889b,AFCON2025_M8_C_01,STAD_RAB_04,FAN_07502438,CATEGORY_3,100,WEBSITE,2025-11-24,20:30,GATE_04,SCANNED,2025-12-23 20:30:58
TICKET_4d72c6a41a,AFCON2025_M8_C_01,STAD_RAB_04,FAN_8993C13F,CATEGORY_3,100,MOBILE_APP,2025-11-29,19:40,GATE_01,SCANNED,2025-12-23 19:40:07
TICKET_eb5cec0a9a,AFCON2025_M8_C_01,STAD_RAB_04,FAN_35C9156A,CATEGORY_3,100,MOBILE_APP,2025-11-14,20:28,GATE_03,SCANNED,2025-12-23 20:28:50
TICKET_11e8da260b,AFCON2025_M8_C_01,STAD_RAB_04,FAN_A3C5D1FD,CATEGORY_3,100,WEBSITE,2025-12-21,20:00,GATE_04,SCANNED,2025-12-23 20:00:15
TICKET_6a8c69a914,AFCON2025_M8_C_01,STAD_RAB_04,FAN_4817A036,CATEGORY_3,100,MOBILE_APP,2025-11-07,19:41,GATE_02,SCANNED,2025-12-23 19:41:55
TICKET_d13b2aab67,AFCON2025_M8_C_01,STAD_RAB_04,FAN_FA803D0E,CATEGORY_1,300,WEBSITE,2025-12-01,20:38,GATE_02,SCANNED,2025-12-23 20:38:02
TICKET_8e872d4d65,AFCON2025_M8_C_01,STAD_RAB_04,FAN_EFBFD5CC,CATEGORY_2,200,WEBSITE,2025-11-10,19:19,GATE_04,SCANNED,2025-12-23 19:19:29
TICKET_cd5f61a843,AFCON2025_M8_C_01,STAD_RAB_04,FAN_3CF3B972,CATEGORY_1,300,WEBSITE,2025-10-30,20:24,GATE_02,SCANNED,2025-12-23 20:24:11
